Word,SegmentationA,SegmentationB,SegmentationC
aaqhubeka,a-qhubek-a,a-qhubek-a,a-qhubek-a
aaqhubeza,a-qhubez-a,a-qhubez-a,a-qhubez-a
aaqinisa,a-qinis-a,a-qinis-a,a-qinis-a
aaqiniseka,a-qinisek-a,a-qinisek-a,a-qinisek-a
aaqinisekisa,a-qinisekis-a,a-qinisekis-a,a-qinisekis-a
aaqomana,a-qoman-a,a-qoman-a,a-qoman-a
aaqondanisa,a-qondanis-a,a-qondanis-a,a-qondanis-a
aaqopha,a-qoph-a,a-qoph-a,a-qoph-a
aaqoqana,a-qoqan-a,a-qoqan-a,a-qoqan-a
aasa,a-s-a,a-s-a,a-s-a
aasanganisa,a-sanganis-a,a-sanganis-a,a-sanganis-a
aasayina,a-sayin-a,a-sayin-a,a-sayin-a
aasebenzisa,a-sebenzis-a,a-sebenzis-a,a-sebenzis-a
aasekela,a-sekel-a,a-sekel-a,a-sekel-a
aasekelwa,a-sekelw-a,a-sekelw-a,a-sekelw-a
aasezwa,a-sezw-a,a-sezw-a,a-sezw-a
aashayelwa,a-shayelw-a,a-shayelw-a,a-shayelw-a
aashesha,a-shesh-a,a-shesh-a,a-shesh-a
aasheshisa,a-sheshis-a,a-sheshis-a,isimiso
aashiswa,a-shisw-a,a-shisw-a,a-shisw-a
aashiya,a-shiy-a,a-shiy-a,a-shiy-a
aashiyela,a-shiyel-a,a-shiyel-a,a-shiyel-a
aashiywa,a-shiyw-a,a-shiyw-a,a-shiyw-a
aashonela,a-shonel-a,a-shonel-a,a-shonel-a
aashukumisa,a-shukumis-a,a-shukumis-a,a-shukumis-a
aashuma,a-shum-a,a-shum-a,a-shum-a
aashwabadela,a-shwabadel-a,a-shwabadel-a,a-shwabadel-a
aashwelezela,a-shwelezel-a,a-shwelezel-a,a-shwelezel-a
aasibekela,a-sibekel-a,a-sibekel-a,a-sibekel-a
aasindisa,a-sindis-a,a-sindis-a,a-sindis-a
aasiza,a-siz-a,a-siz-a,a-siz-a
aasondela,a-sondel-a,a-sondel-a,a-sondel-a
aasusa,a-sus-a,a-sus-a,a-sus-a
aatapela,a-tapel-a,a-tapel-a,a-tapel-a
aathamunda,a-thamund-a,a-thamund-a,a-thamund-a
aathanda,a-a-thand-a,a-a-thand-a,a-a-thand-a
aathandazela,a-thandazel-a,a-thandazel-a,a-thandazel-a
aathandwa,a-thandw-a,a-thandw-a,a-thandw-a
aathatha,a-thath-a,a-thath-a,a-thath-a
aathathelwa,a-thathelw-a,a-thathelw-a,a-thathelw-a
aathembisa,a-thembis-a,a-thembis-a,a-thembis-a
aathenga,a-theng-a,a-theng-a,a-theng-a
aathengisela,a-thengisel-a,a-thengisel-a,a-thengisel-a
aatheza,a-thez-a,a-thez-a,a-thez-a
aathi,a-thi,a-thi,a-thi
aathiwa,a-thiw-a,a-thiw-a,a-thiw-a
aathola,a-thol-a,a-thol-a,a-thol-a
aathothana,a-thothan-a,a-thothan-a,a-thothan-a
aathumela,a-thumel-a,a-thumel-a,a-thumel-a
aathuthukisa,a-thuthukis-a,a-thuthukis-a,a-thuthukis-a
aathuthumela,a-thuthumel-a,a-thuthumel-a,a-thuthumel-a
aatotoswa,a-totosw-a,a-totosw-a,a-totosw-a
aatshela,a-tshel-a,a-tshel-a,a-tshel-a
aatshengisela,a-tshengisel-a,a-tshengisel-a,a-tshengisel-a
aatshuma,a-tshum-a,a-tshum-a,a-tshum-a
aavalelisa,a-valelis-a,a-valelis-a,a-valelis-a
aavevezela,a-vevezel-a,a-vevezel-a,a-vevezel-a
aaveza,a-vez-a,a-vez-a,a-vez-a
aavikela,a-vikel-a,a-vikel-a,a-vikel-a
aavimbela,a-vimbel-a,a-vimbel-a,a-vimbel-a
aavuka,a-vuk-a,a-vuk-a,a-vuk-a
aavuma,a-vum-a,a-vum-a,a-vum-a
aavumela,a-vumel-a,a-vumel-a,a-vumel-a
aawalazisa,a-walazis-a,a-walazis-a,a-walazis-a
aawina,a-win-a,a-win-a,a-win-a
aaxaba,a-xab-a,a-xab-a,a-xab-a
aaxazulula,a-xazulul-a,a-xazulul-a,a-xazulul-a
aaxosha,a-xosh-a,a-xosh-a,a-xosh-a
aayala,a-yal-a,a-yal-a,a-yal-a
aayaleza,a-yalez-a,a-yalez-a,a-yalez-a
aayaluzisa,a-yaluzis-a,a-yaluzis-a,a-yaluzis-a
aayalwa,a-yalw-a,a-yalw-a,a-yalw-a
aayegcwele,a-a-ye-gcwele,a-aye-gcwele,aaye-gcwele
aayekukho,a-a-ye-ku-kho,a-aye-ku-kho,aaye-ku-kho
aayelukhuni,a-a-ye-lukhuni,a-aye-lukhuni,aaye-lukhuni
aayemadala,a-a-ye-ma-dala,a-aye-ma-dala,aaye-ma-dala
aayemade,a-a-ye-ma-de,a-aye-ma-de,aaye-ma-de
aayemahle,a-a-ye-ma-hle,a-aye-ma-hle,aaye-ma-hle
aayemakhulu,a-a-ye-ma-khulu,a-aye-ma-khulu,aaye-ma-khulu
aayemancane,a-a-ye-ma-ncane,a-aye-ma-ncane,aaye-ma-ncane
aayemane,a-a-ye-ma-ne,a-aye-ma-ne,aaye-ma-ne
aayemaningi,a-a-ye-ma-ningi,a-aye-ma-ningi,aaye-ma-ningi
aayemanye,a-a-ye-ma-nye,a-aye-ma-nye,aaye-ma-nye
aayemathathu,a-a-ye-ma-thathu,a-aye-ma-thathu,aaye-ma-thathu
aayenemimoya,a-a-ye-n-e-mi-moya,a-aye-ne-mi-moya,aayene-mimoya
aayengamahlathi,a-a-ye-ng-a-ma-hlathi,a-aye-ng-ama-hlathi,aayeng-amahlathi
aayengekukho,a-a-ye-nge-ku-kho,a-aye-nge-ku-kho,aaye-ngeku-kho
aayengemadala,a-a-ye-nge-ma-dala,a-aye-nge-ma-dala,aaye-ngema-dala
aayengemahlanu,a-a-ye-nge-ma-hlanu,a-aye-nge-ma-hlanu,aaye-ngema-hlanu
aayengemahle,a-a-ye-nge-ma-hle,a-aye-nge-ma-hle,aaye-ngema-hle
aayengemakhulu,a-a-ye-nge-ma-khulu,a-aye-nge-ma-khulu,aaye-ngema-khulu
aayengemancane,a-a-ye-nge-ma-ncane,a-aye-nge-ma-ncane,aaye-ngema-ncane
aayengemaningana,a-a-ye-nge-ma-ningana,a-aye-nge-ma-ningana,aaye-ngema-ningana
aayengemaningi,a-a-ye-nge-ma-ningi,a-aye-nge-ma-ningi,aaye-ngema-ningi
aayengemanye,a-a-ye-nge-ma-nye,a-aye-nge-ma-nye,aaye-ngema-nye
aayengemnene,a-a-ye-nge-mnene,a-aye-nge-mnene,aaye-ngemnene
aayengenakungadlaliswa,a-a-ye-nge-na-ku-nga-dlalisw-a,a-aye-nge-na-ku-nga-dlalisw-a,aayengena-ku-nga-dlalisw-a
aayengenawo,a-a-ye-nge-na-wo,a-aye-nge-na-wo,aayengena-wo
aayengenazilwazi,a-a-ye-nge-na-zi-lw-azi,a-aye-nge-na-zilw-azi,aayengena-zilwazi
aayengengamakhwalithi,a-a-ye-nge-ng-a-ma-khwalithi,a-aye-nge-ng-ama-khwalithi,aayengeng-amakhwalithi
aayengengcono,a-a-ye-nge-ngcono,a-aye-nge-ngcono,aaye-ngengcono
aayengensundu,a-a-ye-nge-nsundu,a-aye-nge-nsundu,aaye-ngensundu
aayengeqotho,a-a-ye-nge-qotho,a-aye-nge-qotho,aaye-ngeqotho
aayengethile,a-a-ye-nge-thile,a-aye-nge-thile,aaye-ngethile
aayengeyisikhombisa,a-a-ye-nge-y-i-si-khombisa,a-aye-nge-y-isi-khombisa,aayengey-isikhombisa
aayengeyisithupha,a-a-ye-nge-y-i-si-thupha,a-aye-nge-y-isi-thupha,aayengey-isithupha
aayengeyizinhloko,a-a-ye-nge-y-i-zin-hloko,a-aye-nge-y-izin-hloko,aayengey-izinhloko
aayenomthwalo,a-a-ye-n-o-m-thwalo,a-aye-no-m-thwalo,aayeno-mthwalo
aayeodwa,a-a-ye-o-dwa,a-aye-odwa,aaye-odwa
aayethile,a-a-ye-thile,a-aye-thile,aaye-thile
aayeyisigidi,a-a-ye-y-i-si-gidi,a-aye-y-isi-gidi,aayey-isigidi
aayeyizinhloko,a-a-ye-y-i-zin-hloko,a-aye-y-izin-hloko,aayey-izinhloko
aazala,a-zal-a,a-zal-a,a-zal-a
aazama,a-zam-a,a-zam-a,a-zam-a
aazibasele,a-a-zi-basel-e,a-a-zi-basel-e,a-azi-basel-e
aazilela,a-zilel-a,a-zilel-a,a-zilel-a
aazungeza,a-zungez-a,a-zungez-a,a-zungez-a
aazwiwa,a-zwiw-a,a-zwiw-a,a-zwiw-a
abaabelene,a-ba-abelen-e,a-ba-abelen-e,aba-abelen-e
abaakhelwe,a-ba-akhelw-e,a-ba-akhelw-e,aba-akhelw-e
abaambile,a-ba-amb-ile,a-ba-amb-ile,aba-amb-ile
ababambani,a-ba-bamban-i,a-ba-bamban-i-somandla,aba-bamban-i
ababeembesile,aba-be-embes-ile,ababe-embes-ile,ababeembes-ile
ababeenelisekile,aba-be-enelisek-ile,ababe-enelisek-ile,ababeenelisek-ile
ababeengamele,aba-be-engamel-e,ababe-engamel-e,ababeengamel-e
ababeenqabele,aba-be-enqabel-e,ababe-enqabel-e,ababeenqabel-e
ababeenzakaliswe,aba-be-enzakalisw-e,ababe-enzakalisw-e,ababeenzakalisw-e
ababeenzekile,aba-be-enzek-ile,ababe-enzek-ile,ababeenzek-ile
ababeenziwe,aba-be-enziw-e,ababe-enziw-e,ababeenziw-e
ababeesulile,aba-be-esul-ile,ababe-esul-ile,ababeesul-ile
ababeeveleyo,aba-be-evel-e-yo,ababe-evel-e-yo,ababeevel-e-yo
ababekwa,a-ba-bekw-a,a-ba-bekw-a-babe,aba-bekw-a
ababengaakhele,aba-be-nga-akhel-e,ababe-nga-akhel-e,ababenga-akhel-e
ababengaakhile,aba-be-nga-akh-ile,ababe-nga-akh-ile,ababenga-akh-ile
ababengaalusile,aba-be-nga-alus-ile,ababe-nga-alus-ile,ababenga-alus-ile
ababengaangene,aba-be-nga-angen-e,ababe-nga-angen-e,ababenga-angen-e
ababengancedile,aba-be-nga-nced-ile,ababe-nga-nced-ile-zonke,ababenga-nced-ile
ababengaphakwe,aba-be-nga-phakw-e,ababe-nga-phakw-e-zonke,ababenga-phakw-e
ababengaphethile,aba-be-nga-pheth-ile,ababe-nga-pheth-ile,abazi
ababengekokungaaliwa,aba-be-nge-ko-ku-nga-aliw-a,ababe-nge-ko-ku-nga-aliw-a,ababengeko-ku-nga-aliw-a
ababengekokungaamukelwa,aba-be-nge-ko-ku-nga-amukelw-a,ababe-nge-ko-ku-nga-amukelw-a,ababengeko-ku-nga-amukelw-a
ababengenammemezeli,aba-be-nge-na-m-memezeli,ababe-nge-na-m-memezeli,ababengena-mmemezeli
ababewinile,aba-be-win-ile,ababe-win-ile-sizwile,ababewin-ile
ababezwa,ab-a-bezw-a,kakhulu,aba-bezw-a
ababhensa,a-ba-bhens-a,a-ba-bhens-a,awa-fund-anga
ababonwa,a-ba-bonw-a,uku-nga-bhuq-i,aba-bonw-a
ababunyweyo,aba-bunyw-e-yo,aba-bunyw-e-yo-wabo,aba-bunyw-e-yo
abafa,a-ba-f-a,a-ba-f-a,a-nikez-a
abafunzelelweni,a-ba-funzelelw-e-ni,a-ba-funzelelw-e-ni-vele,aba-funzelelw-e-ni
abagwebeethimulisa,aba-gweb-e-ethimulis-a,aba-gweb-e-ethimulis-a,aba-gweb-e-ethimulis-a
abagwegwese,aba-gwegwes-e,aba-gwegwes-e-baba,aba-gwegwes-e
abagwinywe,aba-gwinyw-e,aba-gwinyw-e-ngqo,abagwinyw-e
abahlelwe,aba-hlelw-e,aba-hlelw-e-baba,abahlelw-e
abahlohlolozangani,a-ba-hlohloloz-anga-ni,a-ba-hlohloloz-anga-ni-khulu,aba-hlohloloz-anga-ni
abaholileyo,aba-hol-ile-yo,aba-hol-ile-yo-phakathi,aba-hol-ile-yo
abakazukuzukuhlolwa,a-ba-ka-zuku-hlolw-a,a-ba-ka-zuku-hlolw-a,abakazuku-hlolw-a
abakazukuzukulondolozeka,a-ba-ka-zuku-londolozek-a,a-ba-ka-zuku-londolozek-a,abakazuku-londolozek-a
abakazukwzukweva,a-ba-ka-zu-kw-ev-a,a-ba-ka-zukw-ev-a,abakazukw-ev-a
abakhothamela,a-ba-khothamel-a,a-ba-khothamel-a,awa-swelis-anga
abaklebhula,ab-a-klebhul-a,ab-a-klebhul-a-phakathi,aba-klebhul-a
abakokukhathela,aba-ko-ku-khathel-a,aba-ko-ku-khathel-a-zama,abako-ku-khathel-a
abakokuqala,aba-ko-ku-qala,aba-ko-ku-qala-zama,abako-ku-qala
abakugqize,aba-ku-gqiz-e,aba-ku-gqiz-e-waba,abaku-gqiz-e
abakuphangalali,a-ba-ku-phangalal-i,a-ba-ku-phangalal-i-sithole,aba-ku-phangalal-i
abakusizile,aba-ku-sizil-e,aba-ku-sizil-e-waba,abaku-sizil-e
abakuzo,aba-ku-zo,aba-ku-zo-zonke,abaku-zo
abakwenziwanga,a-ba-kw-enziw-anga,a-ba-kw-enziw-anga-mkhulu,aba-kw-enziw-anga
abalangazela,ab-a-langazel-a,ab-a-langazel-a-nomuntu,aba-langazel-a
abalaya,a-ba-lay-a,a-ba-lay-a,amaphutha
abamkala,ab-a-m-kal-a,ab-a-m-kal-a-nomuntu,aba-m-kal-a
abammatanisanga,a-ba-m-matanis-anga,a-ba-m-matanis-anga,aba-m-matanis-anga
abammelanga,a-ba-m-mel-anga,a-ba-m-mel-anga,aba-m-mel-anga
abammelela,ab-a-m-melel-a,ab-a-m-melel-a,aba-m-melel-a
abammelelayo,aba-m-melel-a-yo,aba-m-melel-a-yo,abam-melel-a-yo
abammeleleyo,aba-m-melel-e-yo,aba-m-melel-e-yo,abam-melel-e-yo
abammeli,a-ba-m-mel-i,a-ba-m-mel-i,aba-m-mel-i
abammisanga,a-ba-m-mis-anga,a-ba-m-mis-anga,aba-m-mis-anga
abammukeli,a-ba-m-mukel-i,a-ba-m-mukel-i,aba-m-mukel-i
abanaleli,a-ba-na-leli,a-ba-na-leli-gciwane,abana-leli
abanamaphuzu,a-ba-na-ma-phuzu,a-ba-na-ma-phuzu,abana-maphuzua-suk-a
abanda,a-band-a,a-band-a,obekune-mvula
abanezincwadi,aba-n-e-zincwadi,aba-ne-zincwadi,zo-ku-shayel-a
abangaahlukanisile,aba-nga-ahlukanis-ile,aba-nga-ahlukanis-ile,abanga-ahlukanis-ile
